,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
180,Explore 100% online Degrees and Certificates on Coursera,University at Buffalo,SPECIALIZATION,4.6,Intermediate,120k
738,Explore 100% online Degrees and Certificates on Coursera,Columbia University,SPECIALIZATION,4.8,Beginner,6.3k
189,Explore 100% online Degrees and Certificates on Coursera,IE Business School,SPECIALIZATION,4.7,Beginner,130k
729,Explore 100% online Degrees and Certificates on Coursera,"University of California, Irvine",COURSE,4.8,Intermediate,80k
108,Explore 100% online Degrees and Certificates on Coursera,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,30k
801,Explore 100% online Degrees and Certificates on Coursera,University of Copenhagen,COURSE,4.6,Beginner,19k
99,Explore 100% online Degrees and Certificates on Coursera,Northwestern University,SPECIALIZATION,4.6,Beginner,160k
810,Explore 100% online Degrees and Certificates on Coursera,University of Leeds,SPECIALIZATION,4.7,Intermediate,17k
9,Explore 100% online Degrees and Certificates on Coursera,IBM,SPECIALIZATION,4.7,Beginner,480k
882,Explore 100% online Degrees and Certificates on Coursera,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,54k
18,Explore 100% online Degrees and Certificates on Coursera,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,450k
27,Explore 100% online Degrees and Certificates on Coursera,Yale University,COURSE,4.9,Mixed,3.1m
873,Explore 100% online Degrees and Certificates on Coursera,LearnQuest,COURSE,4.5,Beginner,86k
36,Explore 100% online Degrees and Certificates on Coursera,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,300k
864,Explore 100% online Degrees and Certificates on Coursera,University of Pennsylvania,COURSE,4.5,Mixed,96k
45,Explore 100% online Degrees and Certificates on Coursera,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,620k
198,Explore 100% online Degrees and Certificates on Coursera,DeepLearning.AI,COURSE,4.8,Beginner,310k
855,Explore 100% online Degrees and Certificates on Coursera,Coursera Project Network,GUIDED PROJECT,4.5,Advanced,33k
846,Explore 100% online Degrees and Certificates on Coursera,University of Virginia,COURSE,4.8,Beginner,24k
63,Explore 100% online Degrees and Certificates on Coursera,University of Alberta,SPECIALIZATION,4.7,Beginner,160k
837,Explore 100% online Degrees and Certificates on Coursera,Wesleyan University,COURSE,4.7,Intermediate,30k
828,Explore 100% online Degrees and Certificates on Coursera,ФРОО,COURSE,4.8,Intermediate,28k
72,Explore 100% online Degrees and Certificates on Coursera,University of Michigan,SPECIALIZATION,4.7,Beginner,450k
81,Explore 100% online Degrees and Certificates on Coursera,Wesleyan University,SPECIALIZATION,4.7,Beginner,190k
819,Explore 100% online Degrees and Certificates on Coursera,Osmosis,COURSE,4.8,Beginner,88k
90,Explore 100% online Degrees and Certificates on Coursera,University of Amsterdam,SPECIALIZATION,4.6,Beginner,340k
54,Explore 100% online Degrees and Certificates on Coursera,University of Michigan,SPECIALIZATION,4.7,Beginner,260k
720,Explore 100% online Degrees and Certificates on Coursera,Macquarie University,SPECIALIZATION,4.8,Beginner,27k
468,Explore 100% online Degrees and Certificates on Coursera,University of Colorado System,SPECIALIZATION,4.8,Beginner,32k
261,Explore 100% online Degrees and Certificates on Coursera,The University of Edinburgh,COURSE,4.8,Mixed,96k
225,Explore 100% online Degrees and Certificates on Coursera,University of Pennsylvania,COURSE,4.8,Mixed,260k
711,Explore 100% online Degrees and Certificates on Coursera,University of Amsterdam,COURSE,4.6,Beginner,220k
243,Explore 100% online Degrees and Certificates on Coursera,University of Pennsylvania,COURSE,4.6,Mixed,200k
216,Explore 100% online Degrees and Certificates on Coursera,Google Cloud,SPECIALIZATION,4.6,Beginner,42k
675,Explore 100% online Degrees and Certificates on Coursera,HubSpot Academy,SPECIALIZATION,4.7,Beginner,28k
666,Explore 100% online Degrees and Certificates on Coursera,Tel Aviv University,COURSE,4.8,Beginner,65k
684,Explore 100% online Degrees and Certificates on Coursera,Yale University,COURSE,4.8,Intermediate,50k
207,Explore 100% online Degrees and Certificates on Coursera,Imperial College London,COURSE,4.7,Beginner,220k
252,Explore 100% online Degrees and Certificates on Coursera,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,130k
702,Explore 100% online Degrees and Certificates on Coursera,Saint Petersburg State University,COURSE,4.3,Intermediate,25k
270,Explore 100% online Degrees and Certificates on Coursera,University of Michigan,COURSE,4.8,Mixed,460k
234,Explore 100% online Degrees and Certificates on Coursera,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,29k
728,Exploring Renewable Energy Schemes,Universiteit Leiden,COURSE,4.8,Beginner,29k
328,FPGA Design for Embedded Systems,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,47k
481,FinTech Law and Policy,Arizona State University,COURSE,4.9,Mixed,120k
38,Finance & Quantitative Modeling for Analysts,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,550k
383,Finance for Non-Finance Professionals,University of London,COURSE,4.6,Mixed,180k
699,Finance for Non-Financial Managers,The George Washington University,COURSE,4.7,Beginner,25k
534,Financial Accounting Fundamentals,Georgia Institute of Technology,COURSE,4.7,Mixed,150k
309,Financial Engineering and Risk Management Part I,"University of California, Davis",COURSE,4.7,Mixed,77k
43,Financial Markets,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,380k
518,Financial Markets and Investment Strategy,Universidad Austral,SPECIALIZATION,4.7,Beginner,100k
425,Financing and Investing in Infrastructure,Yonsei University,COURSE,4.9,Beginner,220k
499,Finanzas corporativas,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,47k
773,Finanzas personales,University of Colorado System,COURSE,4.8,Beginner,88k
255,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Colorado System,SPECIALIZATION,4.7,Beginner,70k
78,Fintech: Foundations & Applications of Financial Technology,University of Minnesota,SPECIALIZATION,4.7,Beginner,160k
879,First Order Optical System Design,Johns Hopkins University,COURSE,4.8,Beginner,12k
165,First Step Korean,Atlassian,COURSE,4.7,Beginner,69k
277,Forensic Accounting and Fraud Examination,Johns Hopkins University,COURSE,4.6,Mixed,590k
446,Foundational Finance for Strategic Decision Making,University of Pennsylvania,COURSE,4.8,Mixed,9.9k
680,Foundations of Data Science: K-Means Clustering in Python,University of Virginia,COURSE,4.7,Beginner,29k
404,Foundations of Global Health,University of Minnesota,SPECIALIZATION,4.8,Beginner,19k
168,Foundations of Management,California Institute of the Arts,COURSE,4.8,Beginner,450k
707,Foundations of Marketing Analytics,Yale University,COURSE,4.8,Mixed,98k
380,Foundations of Mindfulness,The Linux Foundation,SPECIALIZATION,4.5,Beginner,42k
218,From Data to Insights with Google Cloud Platform,Duke University,COURSE,4.9,Advanced,220k
870,Full Stack Web Development en Español,University of Colorado System,SPECIALIZATION,4.5,Intermediate,18k
116,Full Stack Web and Multiplatform Mobile App Development,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,53k
632,Functional Programming Principles in Scala,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,63k
240,Fundamentals of Accounting,Imperial College London,SPECIALIZATION,4.7,Beginner,29k
197,Fundamentals of Computing,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,15k
267,Fundamentals of Finance,Duke University,SPECIALIZATION,4.5,Intermediate,26k
463,Fundamentals of GIS,University of Alberta,COURSE,4.9,Beginner,48k
170,Fundamentals of Graphic Design,IBM,SPECIALIZATION,4.3,Advanced,100k
202,Fundamentals of Immunology,University of California San Diego,SPECIALIZATION,4.7,Intermediate,300k
548,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Google Cloud,COURSE,4.6,Beginner,110k
411,Fundamentals of Music Theory,SAS,COURSE,4.8,Beginner,50k
104,Fundamentals of Project Planning and Management,Berklee College of Music,SPECIALIZATION,4.8,Beginner,380k
214,Fundamentals of Quantitative Modeling,Università Bocconi,COURSE,4.8,Mixed,76k
356,Fundamentals of Reinforcement Learning,University of Michigan,COURSE,4.6,Intermediate,23k
491,Fundamentals of Social Media Advertising,Yonsei University,SPECIALIZATION,4.7,Beginner,41k
809,Fundamentos de Excel para Negocios,The State University of New York,COURSE,4.7,Mixed,6.3k
156,Futures Thinking,Advancing Women in Product,SPECIALIZATION,4.7,Beginner,3.7k
260,"GIS, Mapping, and Spatial Analysis",HEC Paris,SPECIALIZATION,4.6,Beginner,63k
178,Game Design and Development,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,100k
228,Game Theory,"University of California, Davis",COURSE,4.5,Intermediate,180k
557,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Illinois at Urbana-Champaign,COURSE,4.6,Mixed,27k
102,Genomic Data Science,University of Virginia,COURSE,4.7,Beginner,180k
799,"Genre : quels enjeux ? Violences, globalisation, biomédecine, sexualités.",University of Pennsylvania,COURSE,4.8,Mixed,86k
97,Geographic Information Systems  (GIS),Duke University,SPECIALIZATION,4.6,Beginner,440k
742,Gestión Empresarial Exitosa para Pymes,Tsinghua University,SPECIALIZATION,4.4,Beginner,53k
717,Getting Started With Music Theory,Yale University,COURSE,4.7,Mixed,34k
554,Getting Started with Power BI Desktop,University of Michigan,COURSE,4.7,Mixed,10k
413,Getting Started with SAS Programming,University of Michigan,COURSE,4.7,Mixed,370k
602,Getting started with TensorFlow 2,Amazon Web Services,COURSE,4.5,Intermediate,130k
250,Global Diplomacy – Diplomacy in the Modern World,IBM,COURSE,4.5,Beginner,110k
790,Global Energy and Climate Policy,Novosibirsk State University ,COURSE,4.3,Beginner,19k
644,Global Environmental Management,IBM,SPECIALIZATION,4.3,Advanced,6.3k
751,Global Financial Markets and Instruments,Berklee College of Music,COURSE,4.9,Mixed,59k
132,Global Quality Maternal and Newborn Care,University System of Georgia,SPECIALIZATION,4.6,Beginner,76k
778,Global Warming I: The Science and Modeling of Climate Change,"University of California, Irvine",COURSE,4.7,Mixed,110k
674,"Globalization, Economic Growth and Stability",UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,130k
133,Good with Words: Writing and Editing,Google Cloud,SPECIALIZATION,4.7,Beginner,32k
23,Google Cloud Networking,Macquarie University,SPECIALIZATION,4.9,Beginner,570k
249,Google Cloud Platform Big Data and Machine Learning Fundamentals,(ISC)²,SPECIALIZATION,4.7,Beginner,7.6k
107,Google Cloud Platform Fundamentals: Core Infrastructure,Michigan State University,SPECIALIZATION,4.7,Beginner,230k
20,Google Cloud Security,DeepLearning.AI,PROFESSIONAL CERTIFICATE,4.7,Intermediate,260k
16,Google IT Automation with Python,IBM,SPECIALIZATION,4.7,Beginner,21k
2,Google IT Support,DeepLearning.AI,SPECIALIZATION,4.8,Intermediate,960k
452,Grammar and Punctuation,University of Michigan,COURSE,4.7,Beginner,34k
39,Graphic Design,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,320k
362,Graphic Design Elements for Non-Designers,University of Pennsylvania,COURSE,5,Beginner,3k
512,Greek and Roman Mythology,University of Toronto,SPECIALIZATION,null,Beginner,null
628,Greening the Economy: Sustainable Cities,University of Virginia,COURSE,4.8,Intermediate,200k
862,Gut Check: Exploring Your Microbiome,"Goldsmiths, University of London",COURSE,4.3,Beginner,38k
888,Géopolitique de l'Europe,University of Illinois at Urbana-Champaign,COURSE,4.6,Mixed,4.5k
98,"HTML, CSS, and Javascript for Web Developers",The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,280k
489,Healing with the Arts,Facebook,COURSE,4.9,Beginner,9.8k
653,Health Behavior Change: From Evidence to Action,Duke University,COURSE,4.8,Mixed,97k
601,Health Information Literacy for Data Analytics,Amazon Web Services,COURSE,4.5,Intermediate,3.4k
366,Healthcare Law,Peking University,COURSE,4.8,Mixed,880k
219,"Hotel Management: Distribution, Revenue and Demand Management",Google,COURSE,4.7,Beginner,170k
818,How Google does Machine Learning,University of California San Diego,SPECIALIZATION,4.1,Intermediate,21k
173,How to Play Guitar,Johns Hopkins University,COURSE,4.7,Mixed,89k
788,How to Write and Publish a Scientific Paper (Project-Centered Course),University of London,COURSE,4.6,Beginner,15k
80,Human Resource Management: HR for People Managers,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,"1,000k"
741,IA para todos,Google Cloud,SPECIALIZATION,4.7,Intermediate,6.1k
53,IBM AI Engineering,Google Cloud,SPECIALIZATION,4.6,Intermediate,200k
646,IBM AI Enterprise Workflow,EIT Digital ,SPECIALIZATION,4.4,Intermediate,68k
13,IBM AI Foundations for Business,Google Cloud,SPECIALIZATION,4.7,Intermediate,470k
30,IBM Cybersecurity Analyst,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,190k
6,IBM Data Analyst,Stanford University,COURSE,4.9,Mixed,3.8m
3,IBM Data Science,IBM,SPECIALIZATION,4.6,Beginner,450k
57,IBM Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,240k
506,ICPM Certified Supervisor,University of Michigan,COURSE,4.7,Mixed,96k
365,IT Security: Defense against the digital dark arts,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,150k
515,Implant Dentistry,Google,COURSE,4.7,Beginner,77k
672,Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.8,Intermediate,120k
49,Improve Your English Communication Skills,Stanford University,SPECIALIZATION,4.7,Beginner,10k
610,Improving Communication Skills,University of Amsterdam,COURSE,4.8,Beginner,97k
137,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Johns Hopkins University,SPECIALIZATION,4.7,Beginner,49k
571,In the Studio: Postwar Abstract Painting,Emory University,COURSE,4.6,Beginner,150k
319,Inclusive Leadership: The Power of Workplace Diversity,Stanford University,COURSE,4.8,Intermediate,150k
12,Indigenous Canada,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,470k
528,Industrial Biotechnology,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,47k
789,Infectious Disease Modelling,University of Houston,COURSE,4.8,Beginner,10k
850,Inferential Statistical Analysis with Python,HEC Paris,COURSE,4.6,Mixed,84k
876,Influencer Marketing Strategy,The Museum of Modern Art,COURSE,4.7,Beginner,140k
176,"Influencing: Storytelling, Change Management and Governance",Michigan State University,SPECIALIZATION,4.7,Intermediate,140k
727,Information Security: Context and Introduction,Google Cloud,COURSE,4.5,Intermediate,22k
569,"Information Systems Auditing, Controls and Assurance",The Museum of Modern Art,COURSE,4.9,Beginner,95k
636,Information Visualization,Google Cloud,SPECIALIZATION,4.8,Intermediate,14k
384,Information​ ​Systems,Johns Hopkins University,COURSE,4.5,Intermediate,580k
381,Innovation Management,Rice University,COURSE,4.8,Beginner,100k
625,"Innovation Through Design: Think, Make, Break, Repeat",ESSEC Business School,SPECIALIZATION,4.6,Beginner,7.2k
581,Innovation: From Creativity to Entrepreneurship,Macquarie University,COURSE,4.8,Intermediate,110k
254,Inspired Leadership,University at Buffalo,SPECIALIZATION,4.7,Beginner,88k
203,Integrative Health and Medicine,Rice University,SPECIALIZATION,4.7,Beginner,75k
372,International Business Essentials,Vanderbilt University,SPECIALIZATION,4.5,Beginner,180k
608,International Law in Action: the Arbitration of International Disputes,University of Pennsylvania,COURSE,4.7,Beginner,87k
493,International Marketing & Cross Industry Growth,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Beginner,23k
436,International Security Management,"University of California, Davis",COURSE,4.7,Beginner,140k
266,International Women's Health and Human Rights,University of Pennsylvania,COURSE,4.7,Mixed,220k
402,Interviewing and Resume Writing in English,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,41k
787,Introducción a Data Science: Programación Estadística con R,Imperial College London,SPECIALIZATION,4.8,Intermediate,5.8k
715,Introducción a la Especialización en Ciencia de Datos,Michigan State University,COURSE,4.5,Beginner,30k
764,Introduction aux Droits de l’Homme,University of Michigan,COURSE,4.6,Intermediate,12k
843,Introduction to Augmented Reality and ARCore,University of Minnesota,COURSE,4.7,Mixed,57k
886,Introduction to Big Data,Sciences Po,COURSE,4.5,Mixed,13k
238,Introduction to Calculus,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,60k
851,Introduction to Chemistry:  Reactions and Ratios,IBM,COURSE,4.7,Beginner,10k
535,Introduction to Classical Music,University of Michigan,COURSE,4.8,Beginner,35k
445,"Introduction to Containers w/ Docker, Kubernetes & OpenShift",University of Illinois at Urbana-Champaign,SPECIALIZATION,4.5,Intermediate,170k
482,Introduction to Corporate Finance,Amazon Web Services,COURSE,4.5,Mixed,11k
808,Introduction to Cyber Attacks,Universiteit Leiden,COURSE,4.8,Mixed,42k
229,Introduction to Cyber Security,University of Virginia,COURSE,4.7,Beginner,110k
510,Introduction to Data Analysis Using Excel,University of Pennsylvania,COURSE,4.7,Mixed,35k
169,Introduction to Data Analytics,Georgia Institute of Technology,COURSE,4.5,Beginner,140k
5,Introduction to Data Science,University of Michigan,SPECIALIZATION,4.8,Beginner,2.2m
213,Introduction to Data Science in Python,BCG,SPECIALIZATION,4.8,Beginner,25k
521,Introduction to Dental Medicine,National Research University Higher School of Economics,COURSE,4.6,Intermediate,350k
155,Introduction to Discrete Mathematics for Computer Science,IBM,COURSE,4.5,Beginner,170k
536,Introduction to Electronics,PwC,COURSE,4.6,Beginner,130k
566,Introduction to Embedded Systems Software and Development Environments,University of Virginia,COURSE,4.8,Beginner,23k
147,Introduction to English Common Law,DeepLearning.AI,SPECIALIZATION,4.7,Intermediate,37k
645,Introduction to Environmental Law and Policy,"University of California, Santa Cruz",COURSE,4.8,Intermediate,39k
35,Introduction to Finance and Accounting,IBM,SPECIALIZATION,4.5,Beginner,130k
268,Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.8,Mixed,1.1m
516,Introduction to Forensic Science,Indian School of Business,SPECIALIZATION,4.5,Beginner,96k
814,Introduction to G Suite,IE Business School,COURSE,4.7,Intermediate,25k
655,Introduction to Genetics and Evolution,University of Michigan,COURSE,4.6,Beginner,2.7k
471,Introduction to International Criminal Law,University of Alberta,COURSE,4.5,Beginner,5.6k
341,Introduction to Logic and Critical Thinking,IBM,COURSE,4.7,Beginner,160k
227,Introduction to Marketing,New York University,SPECIALIZATION,4.7,Beginner,43k
124,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,University of California San Diego,SPECIALIZATION,4.6,Beginner,110k
866,Introduction to Operations Management,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,23k
527,Introduction to Portfolio Construction and Analysis with Python,University of Pennsylvania,COURSE,4.9,Beginner,290k
497,Introduction to Probability and Data with R,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Intermediate,48k
273,Introduction to Programming in C,University of Pennsylvania,COURSE,4.8,Beginner,130k
248,Introduction to Psychology,University of London,COURSE,4.7,Mixed,110k
50,Introduction to Psychology,"University of California, Davis",SPECIALIZATION,4.6,Beginner,210k
314,Introduction to Scripting in Python,University of Illinois at Urbana-Champaign,COURSE,4.7,Mixed,100k
327,Introduction to Search Engine Optimization,Johns Hopkins University,COURSE,4.8,Beginner,150k
580,"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",Berklee College of Music,COURSE,4.8,Intermediate,67k
641,Introduction to Self-Driving Cars,University of Pennsylvania,COURSE,4.7,Mixed,39k
624,Introduction to Software Product Management,Arizona State University,SPECIALIZATION,4.7,Intermediate,82k
291,Introduction to Systematic Review and Meta-Analysis,BCG,COURSE,4.8,Beginner,110k
804,"Introduction to Trading, Machine Learning & GCP",University of Washington,COURSE,4.6,Mixed,320k
665,Introduction to Typography,Unity,SPECIALIZATION,4.5,Beginner,110k
537,Introduction to User Experience Principles and Processes,DeepLearning.AI,COURSE,4.6,Intermediate,22k
438,Introduction to Web Development,ESSEC Business School,COURSE,4.5,Mixed,36k
329,Introduction to the Biology of Cancer,Universiteit Leiden,COURSE,4.8,Beginner,99k
430,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,Rice University,COURSE,4.8,Intermediate,20k
125,Investment Management with Python and Machine Learning,DeepLearning.AI,SPECIALIZATION,4.8,Intermediate,2.6k
185,Investment and Portfolio Management,University of Pennsylvania,COURSE,4.7,Mixed,180k
61,Java Programming and Software Engineering Fundamentals,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,150k
578,Java Programming: Solving Problems with Software,University of Rochester,COURSE,4.9,Beginner,29k
305,Keeping up with Change: Issues for the Finance Professional,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,81k
11,Key Technologies for Business,IBM,SPECIALIZATION,4.7,Beginner,470k
393,Kotlin for Java Developers,Macquarie University,COURSE,4.8,Mixed,80k
797,L'avenir de la décision : connaître et agir en complexité,University of Geneva,COURSE,4.9,Beginner,6.6k
560,L'excellence opérationnelle en pratique,Michigan State University,COURSE,4.7,Mixed,200k
627,"L'impact investing, la finance qui change le monde",Northwestern University,COURSE,4.8,Beginner,28k
695,Leadership Development for Engineers,University of Colorado System,SPECIALIZATION,4.6,Beginner,50k
716,Leadership in 21st Century Organizations,Lund University,COURSE,4.5,Beginner,110k
508,Leading Diverse Teams & Organizations,Rice University,COURSE,4.7,Mixed,76k
701,Leading Healthcare Quality and Safety,Emory University,SPECIALIZATION,4.8,Beginner,3.4k
85,Leading People and Teams,National Research University Higher School of Economics,SPECIALIZATION,4.6,Intermediate,450k
358,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Minnesota,SPECIALIZATION,4.7,Intermediate,30k
33,Leading the Modern Day Business,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,340k
246,Learn Chinese: HSK Test Preparation,University of Toronto,COURSE,4.9,Mixed,320k
744,Learn English,Johns Hopkins University,COURSE,4.7,Beginner,2.9k
349,Learn Mandarin Chinese,Università Bocconi,COURSE,4.8,Mixed,21k
62,Learn SQL Basics for Data Science,University of Michigan,COURSE,4.8,Mixed,2m
130,Learn Spanish: Basic Spanish Vocabulary,Yale University,COURSE,4.8,Intermediate,4.1k
312,Learn to Program: The Fundamentals,Rice University,SPECIALIZATION,4.7,Beginner,93k
427,Learn to Speak Korean 1,University of Pennsylvania,COURSE,4.8,Mixed,97k
890,Learning Technologies Foundations and Applications,University of California San Diego,COURSE,4.7,Intermediate,230k
750,Les Fondamentaux de la Négociation,Amazon Web Services,COURSE,4.4,Beginner,42k
881,"Living with Dementia: Impact on Individuals, Caregivers, Communities and Societies",Stanford University,COURSE,4.8,Intermediate,57k
869,Love as a Force for Social Justice,Wesleyan University,SPECIALIZATION,4.4,Beginner,130k
589,MLOps (Machine Learning Operations) Fundamentals,University of London,COURSE,4.6,Beginner,7.5k
8,Machine Learning,Facebook,PROFESSIONAL CERTIFICATE,4.9,Beginner,61k
806,Machine Learning Foundations: A Case Study Approach,New York University,COURSE,4.7,Beginner,37k
443,Machine Learning and Reinforcement Learning in Finance,IBM,COURSE,4.5,Beginner,3.4k
492,Machine Learning for All,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,150k
237,Machine Learning for Trading,Copenhagen Business School,SPECIALIZATION,4.4,Beginner,36k
123,Machine Learning with TensorFlow on Google Cloud Platform,EDHEC Business School,SPECIALIZATION,4.6,Beginner,33k
880,Major Depression in the Population: A Public Health Approach,Google Cloud,PROFESSIONAL CERTIFICATE,4.5,Intermediate,3.2k
500,Making Architecture,DeepLearning.AI,COURSE,4.8,Intermediate,2.5k
122,Management of Fashion and Luxury Companies,Yale University,COURSE,4.9,Mixed,320k
458,Managerial Economics and Business Analysis,Autodesk,SPECIALIZATION,4.8,Intermediate,120k
849,Managers du changement,Duke University,COURSE,4.7,Beginner,69k
480,Managing Cybersecurity,University of Pennsylvania,COURSE,4.6,Mixed,150k
812,Managing Major Engineering Projects,Google Cloud,COURSE,4.7,Beginner,27k
780,Managing Project Risks and Changes,IESE Business School,COURSE,4.8,Mixed,76k
401,Market Research,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,98k
520,Marketing Digital,University of Washington,COURSE,4.8,Beginner,160k
503,Marketing Digital,University of Toronto,COURSE,4.5,Beginner,120k
191,Marketing Mix Implementation,Wesleyan University,COURSE,4.7,Beginner,370k
232,Marketing Strategy,Stanford University,SPECIALIZATION,4.6,Advanced,77k
599,Marketing con Redes Sociales,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,11k
302,Marketing in a Digital World,Google Cloud,SPECIALIZATION,4.6,Intermediate,25k
815,Mastering Final Cut Pro,Johns Hopkins University,COURSE,4.5,Mixed,170k
634,Mastering Software Development in R,New York University,SPECIALIZATION,4.5,Beginner,13k
530,Mathematics for Data Science,IBM,COURSE,4.5,Intermediate,98k
59,Mathematics for Machine Learning,Duke University,SPECIALIZATION,4.6,Beginner,550k
209,Mathematics for Machine Learning: Linear Algebra,INSEAD,SPECIALIZATION,4.7,Beginner,45k
543,Mathematics for Machine Learning: Multivariate Calculus,"University of California, Davis",COURSE,4.6,Beginner,140k
410,Medical Cannabis: The Health Effects of THC and CBD,University of Toronto,COURSE,4.7,Mixed,10k
220,Medical Neuroscience,University of Colorado System,SPECIALIZATION,4.5,Advanced,180k
92,Methods and Statistics in Social Sciences,Rice University,SPECIALIZATION,4.7,Beginner,200k
643,Microeconomics: The Power of Markets,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,51k
434,Miracles of Human Language: An Introduction to Linguistics,Erasmus University Rotterdam,COURSE,4.7,Beginner,8.2k
547,Model Thinking,IBM,COURSE,4.6,Beginner,3.2k
310,Modern Art & Ideas,University of Toronto,COURSE,4.7,Beginner,220k
318,Modern Big Data Analysis with SQL,DeepLearning.AI,COURSE,4.6,Intermediate,6.8k
60,Modern and Contemporary Art and Design,"University of California, Davis",SPECIALIZATION,4.6,Beginner,280k
526,Modernizing Data Lakes and Data Warehouses with GCP,University of Manchester   ,COURSE,4.7,Beginner,44k
709,Moralities of Everyday Life,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,110k
736,Mountains 101,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,17k
115,Music Production,E-Learning Development Fund,SPECIALIZATION,4.9,Intermediate,53k
340,Natural Language Processing in TensorFlow,University of Virginia,COURSE,4.6,Beginner,47k
555,Natural Language Processing with Attention Models,University of Pittsburgh,COURSE,4.7,Beginner,23k
186,Natural Language Processing with Classification and Vector Spaces,National Research University Higher School of Economics,SPECIALIZATION,4.7,Beginner,48k
539,Natural Language Processing with Sequence Models,Macquarie University,COURSE,4.7,Intermediate,27k
887,Negotiation  Fundamentals,Macquarie University,COURSE,4.9,Mixed,27k
24,Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,450k
69,Neural Networks and Deep Learning,Arizona State University,SPECIALIZATION,4.9,Beginner,43k
706,Neurolinguistics,The Chinese University of Hong Kong,COURSE,4.7,Intermediate,28k
258,Neuroscience and Neuroimaging,University of Toronto,SPECIALIZATION,4.9,Beginner,83k
678,Newborn Baby Care,"Goldsmiths, University of London",COURSE,4.7,Beginner,13k
494,Nutrición y obesidad: control de sobrepeso,University of Michigan,COURSE,4.8,Mixed,350k
776,Nutrition and Lifestyle in Pregnancy,The University of Chicago,COURSE,4.6,Mixed,38k
204,Object Oriented Java Programming: Data Structures and Beyond,DeepLearning.AI,COURSE,4.9,Intermediate,330k
330,Object-Oriented Data Structures in C++,Northwestern University,COURSE,4.7,Intermediate,18k
391,Oil & Gas Industry Operations and Markets,JetBrains,COURSE,4.7,Intermediate,60k
382,"Open Source Software Development, Linux and Git",University of Minnesota,SPECIALIZATION,4.7,Beginner,34k
221,Operating Systems and You: Becoming a Power User,University System of Georgia,SPECIALIZATION,4.7,Intermediate,42k
642,Operations Analytics,Technical University of Denmark (DTU),COURSE,4.7,Intermediate,35k
322,Optical Engineering,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,20k
860,Ordered Data Structures,University of Colorado Boulder,COURSE,4.7,Mixed,72k
281,Organizational Analysis,Databricks,SPECIALIZATION,4.7,Intermediate,1.5k
